Слово,Транскрипция
гювеч,ɡʲʉvʲet͡ɕ
гюйс,ɡʲʉɪ̯s
гюмринцы,ɡʲʊmrʲinʲɪt͡s
гюрза,ɡʲʊrza
гянджинец,ɡʲɪnd͡ʐʐɨnʲɪt͡s
гянджинский,ɡʲɪnd͡ʐʐɨnskʲɪɪ̯
гянджинцы,ɡʲɪnd͡ʐʐɨnʲɪt͡s
гяур,ɡʲɪur
гёзы,ɡʲɵs
гёрлс,ɡʲɵrɫs
гёрлскаут,ˌɡʲɵrɫskaʊt
гёрлфренд,ˌɡʲɵrɫfrɛnt
гётеборгский,ɡʲɵtɛborkskʲɪɪ̯
гётит,ɡʲɵtʲit
Джавадов,d͡ʐʐɐvadəf
Джамахирия,d͡ʐʐəməxʲɪrʲiɪ̯ə
Джанибеков,d͡ʐʐənʲɪbʲekəf
Джек,d͡ʐʐɛk
Джералдтон,d͡ʐʐɛrəɫtən
Джинс,d͡ʐʐɨns
Джон,d͡ʐʐon
Джордж,d͡ʐʐort͡ʂʂ
Джульетта,d͡ʐʐʊlʲjetə
Дзержинск,dʲ͡zʲzʲɪrʐɨnsk
Дмитриев,dmʲitrʲɪɪ̯ɪf
Дмитриевич,dmʲitrʲɪɪ̯ɪvʲɪt͡ɕ
Дмитрий,dmʲitrʲɪɪ̯
Днепропетровщина,dʲnʲɪprəpʲɪtrofɕːɪnə
Дымов,dɨməf
Дэвис,dɛvʲɪs
Дюжев,dʲuʐɨf
Дюймовочка,dʲʉɪ̯movət͡ɕkə
Дюкин,dʲʉkʲɪn
Дюма,dʲʊma
Дягилев,dʲæɡʲɪlʲɪf
Дятлов,dʲatɫəf
Дятлово,dʲatɫəvə
Дёмичев,dʲɵmʲɪt͡ɕɪf
Дёмушкин,dʲɵmʊʂkʲɪn
джаз,d͡ʐʐas
джаз-банд,ˌd͡ʐʐaz bant
джаз-оркестр,ˌd͡ʐʐas ɐrkʲestr
джаз-рок,ˌd͡ʐʐas rok
джаз-фестиваль,ˌd͡ʐʐas fʲɪsʲtʲɪvalʲ
джазист,d͡ʐʐɐzʲist
джазмен,d͡ʐʐɐzmʲen
джазовый,d͡ʐʐazəvɨɪ̯
джайнизм,d͡ʐʐɐɪ̯nʲizm
джайнский,d͡ʐʐaɪ̯nskʲɪɪ̯
джакартец,d͡ʐʐɐkartʲɪt͡s
джакузи,d͡ʐʐɐkuzʲɪ
джалал-абадский,d͡ʐʐɐˌɫaɫ ɐbat͡skʲɪɪ̯
джедай,d͡ʐʐɨdaɪ̯
джезва,d͡ʐʐɛzvə
джейран,d͡ʐʐɨɪ̯ran
джек,d͡ʐʐɛk
джекпот,d͡ʐʐɨkpot
джем,d͡ʐʐɛm
джем-сейшен,d͡ʐʐɛm sɛɪ̯ʂɨn
джемовый,d͡ʐʐɛməvɨɪ̯
джемпер,d͡ʐʐɛm⁽ʲ⁾pʲɪr
джемперок,d͡ʐʐɨm⁽ʲ⁾pʲɪrok
джемсонит,d͡ʐʐɨmsɐnʲit
дженерик,d͡ʐʐɨnɛrʲɪk
джентльмен,d͡ʐʐɛntlʲmʲen
джентльменски,d͡ʐʐɛntlʲmʲenskʲɪ
джентльменский,d͡ʐʐɛntlʲmʲenskʲɪɪ̯
джентльменство,d͡ʐʐɛntlʲmʲenstvə
джентри,d͡ʐʐɛntrʲɪ
джерримендеринг,ˌd͡ʐʐɛrʲːɪmɛndɛrʲɪnk
джерси,d͡ʐʐɨrsʲi
джерсовый,d͡ʐʐɨrsovɨɪ̯
джеспилит,d͡ʐʐɨspʲɪlʲit
джи-ай,d͡ʐʐɨ aɪ̯
джибутиец,d͡ʐʐɨbʊtʲiɪ̯ɪt͡s
джига,d͡ʐʐɨɡə
джигит,d͡ʐʐɨɡʲit
джигитовать,d͡ʐʐɨɡʲɪtɐvatʲ
джигитовка,d͡ʐʐɨɡʲɪtofkə
джигитский,d͡ʐʐɨɡʲit͡skʲɪɪ̯
джимкроуизм,ˌd͡ʐʐɨmkrəʊizm
джимхана,d͡ʐʐɨmxɐna
джин,d͡ʐʐɨn
джинго,d͡ʐʐɨnɡə
джингоизм,d͡ʐʐɨnɡɐizm
джингоистский,d͡ʐʐɨnɡɐisːkʲɪɪ̯
джинн,d͡ʐʐɨn
джинса,d͡ʐʐɨnsa
джинсики,d͡ʐʐɨn⁽ʲ⁾sʲɪkʲɪ
джинсовка,d͡ʐʐɨnsofkə
джинсовый,d͡ʐʐɨnsəvɨɪ̯
джинсы,d͡ʐʐɨnsɨ
джип,d͡ʐʐɨp
джирга,d͡ʐʐɨrɡa
джиринг,d͡ʐʐɨrʲɪnk
джиу-джитсу,ˌd͡ʐʐɨʊ d͡ʐʐɨt͡ssʊ
джихад,d͡ʐʐɨxat
джоббер,d͡ʐʐobʲɪr
джоггинг,d͡ʐʐoɡʲɪnk
джойсовский,d͡ʐʐoɪ̯səfskʲɪɪ̯
джойстик,d͡ʐʐoɪ̯sʲtʲɪk
джокер,d͡ʐʐokʲɪr
джонатан,d͡ʐʐənɐtan
джонка,d͡ʐʐonkə
джоуль,d͡ʐʐoʊlʲ
джугара,d͡ʐʐʊɡɐra
джунгарский,d͡ʐʐʊnɡarskʲɪɪ̯
джунгли,d͡ʐʐunɡlʲɪ
джунта,d͡ʐʐuntə
джурабы,d͡ʐʐʊrabɨ
джут,d͡ʐʐut
джутовый,d͡ʐʐutəvɨɪ̯
дзайбацу,d͡zzɐɪ̯bat͡sʊ
дзанни,d͡zzanʲːɪ
дзеканье,dʲ͡zʲzʲekənʲɪ̯ə
дзекать,dʲ͡zʲzʲekətʲ
дзен,d͡zzɛn
дзен-буддизм,ˌd͡zzɛn bʊdʲːizm
дзерен,d͡zzɛrʲen
дзержинский,dʲ͡zʲzʲɪrʐɨnskʲɪɪ̯
дзета,d͡zzɛtə
дзета-преобразование,ˌd͡zzɛtə prʲɪəbrəzɐvanʲɪɪ̯ə
дзета-функция,ˌd͡zzɛtə funkt͡sɨɪ̯ə
дзинь,dʲ͡zʲzʲinʲ
дзиньканье,dʲ͡zʲzʲinʲkənʲɪ̯ə
дзинькать,dʲ͡zʲzʲinʲkətʲ
дзинькнуть,dʲ͡zʲzʲinʲknʊtʲ
дзот,d͡zzot
дзэн,d͡zzɛn
дзэн-буддизм,ˌd͡zzɛn bʊdʲːizm
дзэн-буддист,ˌd͡zzɛn bʊdʲːist
дзюдо,dʲ͡zʲzʲʊdo
дзюдоист,dʲ͡zʲzʲʊdɐist
дзюдоистка,dʲ͡zʲzʲʊdɐistkə
длань,dɫanʲ
длина,dlʲɪna
длиннейший,dlʲɪnʲːeɪ̯ʂɨɪ̯
длинненький,dlʲinʲːɪnʲkʲɪɪ̯
длиннеть,dlʲɪnʲːetʲ
длинно,dlʲinːə
длиннобородый,dlʲɪnːəbɐrodɨɪ̯
длинновато,dlʲɪnːɐvatə
длинноватый,dlʲɪnːɐvatɨɪ̯
длинноволновый,dlʲɪnːɐvoɫnəvɨɪ̯
длинноволокнистый,ˌdlʲinːəvəɫɐknʲistɨɪ̯
длинноволосый,dlʲɪnːəvɐɫosɨɪ̯
длинноголовый,dlʲɪnːəɡɐɫovɨɪ̯
длинногривый,dlʲɪnːɐɡrʲivɨɪ̯
длиннодневный,dlʲɪnːɐdʲnʲevnɨɪ̯
длиннозернистый,dlʲɪnːəzʲɪrnʲistɨɪ̯
длиннозёрный,dlʲɪnːɐzʲɵrnɨɪ̯
длинноклювый,dlʲɪnːɐklʲuvɨɪ̯
длинноколосый,dlʲɪnːəkɐɫosɨɪ̯
длиннокосый,dlʲɪnːɐkosɨɪ̯
длиннокрылый,dlʲɪnːɐkrɨɫɨɪ̯
длиннолистный,dlʲɪnːɐlʲistnɨɪ̯
длиннолицый,dlʲɪnːɐlʲit͡sɨɪ̯
длинномерный,dlʲɪnːɐmʲernɨɪ̯
длинномордый,dlʲɪnːɐmordɨɪ̯
длинноногий,dlʲɪnːɐnoɡʲɪɪ̯
длинноносый,dlʲɪnːɐnosɨɪ̯
длиннопестичный,dlʲɪnːɐpʲesʲtʲɪt͡ɕnɨɪ̯
длинноплодный,dlʲɪnːɐpɫodnɨɪ̯
длиннополый,dlʲɪnːɐpoɫɨɪ̯
длиннорогий,dlʲɪnːɐroɡʲɪɪ̯
длиннорукий,dlʲɪnːɐrukʲɪɪ̯
длинносоломистый,dlʲɪnːəsɐɫomʲɪstɨɪ̯
длинноствольный,dlʲɪnːɐstvolʲnɨɪ̯
длинностебельный,dlʲɪnːɐsʲtʲebʲɪlʲnɨɪ̯
длинностебельчатый,dlʲɪnːəsʲtʲɪbʲelʲt͡ɕɪtɨɪ̯
длинностолбиковый,dlʲɪnːɐstoɫbʲɪkəvɨɪ̯
длинностолбчатый,dlʲɪnːɐstoɫpt͡ɕɪtɨɪ̯
длиннота,dlʲɪnːɐta
длинноусый,dlʲɪnːɐusɨɪ̯
длинноухий,dlʲɪnːɐuxʲɪɪ̯
длиннофокусный,dlʲɪnːɐfokʊsnɨɪ̯
длиннохвост,dlʲɪnːɐxvost
длиннохвостый,dlʲɪnːɐxvostɨɪ̯
длинноцепочечный,dlʲɪnːət͡sɨpot͡ɕɪt͡ɕnɨɪ̯
длинночерешковый,ˌdlʲinːət͡ɕɪrʲɪʂkovɨɪ̯
длинношеий,dlʲɪnːɐʂɛɪɪ̯
длинношёрстный,dlʲɪnːɐʂorsnɨɪ̯
длинношёрстый,dlʲɪnːɐʂorstɨɪ̯
длиннощетинистый,dlʲɪnːəɕːɪtʲinʲɪstɨɪ̯
длиннущий,dlʲɪnːuɕːɪɪ̯
длинный,dlʲinːɨɪ̯
длиннющий,dlʲɪnʲːʉɕːɪɪ̯
длиномер,dlʲɪnɐmʲer
длительно,dlʲitʲɪlʲnə
длительность,dlʲitʲɪlʲnəsʲtʲ
длительный,dlʲitʲɪlʲnɨɪ̯
длить,dlʲitʲ
длиться,dlʲit͡sːə
для,dlʲa
для-ради,dlʲə‿radʲɪ
дмитровец,dmʲitrəvʲɪt͡s
дмитровский,dmʲitrəfskʲɪɪ̯
дмитровцы,dmʲitrəvʲɪt͡s
дневалить,dʲnʲɪvalʲɪtʲ
дневальный,dʲnʲɪvalʲnɨɪ̯
дневальство,dʲnʲɪvalʲstvə
дневалящий,dʲnʲɪvalʲɪɕːɪɪ̯
дневать,dʲnʲɪvatʲ
дневка,dʲnʲɵfkə
дневник,dʲnʲɪvnʲik
дневниковый,dʲnʲɪvnʲɪkovɨɪ̯
дневничок,dʲnʲɪvnʲɪt͡ɕɵk
дневной,dʲnʲɪvnoɪ̯
днепровский,dʲnʲɪprofskʲɪɪ̯
днепропетровец,dʲnʲɪprəpʲɪtrovʲɪt͡s
днепропетровск,dʲnʲɪprəpʲɪtrofsk
днепропетровский,dʲnʲɪprəpʲɪtrofskʲɪɪ̯
днестровский,dʲnʲɪstrofskʲɪɪ̯
днесь,dʲnʲesʲ
днище,dʲnʲiɕːɪ
дно,dno
дноочистительный,ˌdnoət͡ɕɪsʲtʲitʲɪlʲnɨɪ̯
дноуглубительный,ˌdnoʊɡɫʊbʲitʲɪlʲnɨɪ̯
дноуглубление,ˌdnoʊɡɫʊblʲenʲɪɪ̯ə
днями,dʲnʲæmʲɪ
днёвка,dʲnʲɵfkə
днём,dʲnʲɵm
дхамма,txamːə
дхарма,txarmə
дхармический,txɐrmʲit͡ɕɪskʲɪɪ̯
дщерь,t͡ɕɕːerʲ
дыба,dɨbə
дыбить,dɨbʲɪtʲ
дыбиться,dɨbʲɪt͡sə
дыбки,nə‿dɨpkʲi
дыбом,dɨbəm
дыбы,dɨbɨ
дыбящийся,dɨbʲɪɕːɪɪ̯sʲə
дылда,dɨɫdə
дылдистый,dɨɫdʲɪstɨɪ̯
дым,dɨm
дымаппаратура,ˌdɨməpərɐturə
дымарь,dɨmarʲ
дымзавеса,ˌdɨmzɐvʲesə
дымина,dɨmʲinə
дыминка,dɨmʲinkə
дымить,dɨmʲitʲ
дымиться,dɨmʲit͡sːə
дымище,dɨmʲiɕːɪ
дымка,dɨmkə
дымковский,dɨmkəfskʲɪɪ̯
дымление,dɨmlʲenʲɪɪ̯ə
дымник,dɨmnʲɪk
дымно,dɨmnə
дымность,dɨmnəsʲtʲ
дымный,dɨmnɨɪ̯
дымовой,dɨmɐvoɪ̯
дымовуха,dɨmɐvuxə
дымовытяжной,ˌdɨməvɨtʲɪʐnoɪ̯
дымогарный,dɨmɐɡarnɨɪ̯
дымогенератор,ˌdɨməɡʲɪnʲɪratər
дымозащитный,dɨməzɐɕːitnɨɪ̯
дымок,dɨmok
дымокур,dɨmɐkur
дымомер,dɨmɐmʲer
дымообразующий,ˌdɨmɐɐbrɐzujʉɕːɪɪ̯
дымоотвод,dɨmɐɐtvot
дымоотводный,dɨmɐɐtvodnɨɪ̯
дымопровод,dɨməprɐvot
дымосос,dɨmɐsos
дымоуловитель,dɨməʊɫɐvʲitʲɪlʲ
дымоход,dɨmɐxot
дымоходный,dɨmɐxodnɨɪ̯
дымочек,dɨmot͡ɕɪk
дымчатость,dɨmt͡ɕɪtəsʲtʲ
дымчатый,dɨmt͡ɕɪtɨɪ̯
дымянка,dɨmʲankə
дынный,dɨnːɨɪ̯
дынька,dɨnʲkə
дыня,dɨnʲə
дыра,dɨra
дырища,dɨrʲiɕːə
дырка,dɨrkə
дыроватый,dɨrɐvatɨɪ̯
дырокол,dɨrɐkoɫ
дыропробивной,ˌdɨrəprəbʲɪvnoɪ̯
дырочка,dɨrət͡ɕkə
дырочный,dɨrət͡ɕnɨɪ̯
дырчатый,dɨrt͡ɕɪtɨɪ̯
дырявая,dɨrʲavɨɪ̯
дырявить,dɨrʲævʲɪtʲ
дырявиться,dɨrʲævʲɪt͡sə
дырявый,dɨrʲavɨɪ̯
дырявящий,dɨrʲævʲɪɕːɪɪ̯
дырявящийся,dɨrʲævʲɪɕːɪɪ̯sʲə
дых,dɨx
дыхалка,dɨxaɫkə
дыхало,dɨxəɫə
дыхальце,dɨxəlʲt͡sə
дыхание,dɨxanʲɪɪ̯ə
дыханье,dɨxanʲɪ̯ə
дыхательный,dɨxatʲɪlʲnɨɪ̯
дыхнуть,dɨxnutʲ
дышать,dɨʂatʲ
дышаться,dɨ̞ʂatsa
дышащий,dɨʂəɕːɪɪ̯
дышло,dɨʂɫə
дышловой,dɨʂɫɐvoɪ̯
дьявол,dʲjavəɫ
дьяволенок,dʲɪ̯ɪvɐlʲɵnək
дьяволиада,dʲɪ̯ɪvəlʲɪadə
дьяволица,dʲjavəlʲɪt͡sə
дьяволов,dʲjavəɫəf
дьявольски,dʲjavəlʲskʲɪ
дьявольский,dʲjavəlʲskʲɪɪ̯
дьявольщина,dʲjavəlʲɕːɪnə
дьяволёнок,dʲɪ̯ɪvɐlʲɵnək
дьяк,dʲjak
дьякон,dʲjakən
дьяконица,dʲjakənʲɪt͡sə
дьяконник,dʲjakənʲːɪk
дьяконский,dʲjakənskʲɪɪ̯
дьяконство,dʲjakənstvə
дьяконствовать,dʲjakənstvəvətʲ
дьяческий,dʲjæt͡ɕɪskʲɪɪ̯
дьячиха,dʲɪ̯ɪt͡ɕixə
дьячковский,dʲɪ̯ɪt͡ɕkofskʲɪɪ̯
дьячок,dʲɪ̯ɪt͡ɕɵk
дэва,dɛvə
дэзовский,dɛzəfskʲɪɪ̯
дюбек,dʲʉbʲek
дюбель,dʲʉbʲɪlʲ
дюбель-гвоздь,ˌdʲʉbʲɪlʲ ɡvosʲtʲ
дюбельный,dʲʉbʲɪlʲnɨɪ̯
дюгонь,dʲʊɡonʲ
дюже,dʲuʐə
дюжесть,dʲuʐɨsʲtʲ
дюжеть,dʲʊʐɛtʲ
дюжий,dʲuʐɨɪ̯
дюжина,dʲuʐɨnə
дюжинка,dʲuʐɨnkə
дюжинный,dʲuʐɨnːɨɪ̯
дюжить,dʲuʐɨtʲ
дюза,dʲuzə
дюйм,dʲʉɪ̯m
дюймовка,dʲʉɪ̯mofkə
дюймовый,dʲʉɪ̯movɨɪ̯
дюк,dʲuk
дюкер,dʲʉkʲɪr
дюмавед,dʲʊmɐvʲet
дюна,dʲunə
дюнный,dʲunːɨɪ̯
дюны,dʲunə
дюралевый,dʲʊralʲɪvɨɪ̯
дюраль,dʲʊralʲ
дюралюминиевый,dʲʊrəlʲʉmʲinʲɪɪ̯ɪvɨɪ̯
дюралюминий,dʲʊrəlʲʉmʲinʲɪɪ̯
дюрометр,dʲʊromʲɪtr
дюшес,dʲʊʂɛs
дюшесса,dʲʊʂɛsːə
дягель,dʲæɡʲɪlʲ
дягилевский,dʲæɡʲɪlʲɪfskʲɪɪ̯
дягиль,dʲæɡʲɪlʲ
дягильник,dʲæɡʲɪlʲnʲɪk
дягильный,dʲæɡʲɪlʲnɨɪ̯
дяденька,dʲædʲɪnʲkə
дяденькин,dʲædʲɪnʲkʲɪn
дядечка,dʲædʲɪt͡ɕkə
дядин,dʲædʲɪn
дядище,dʲædʲɪɕːɪ
дядька,dʲætʲkə
дядькин,dʲætʲkʲɪn
дядюшка,dʲædʲʊʂkə
дядюшкин,dʲædʲʊʂkʲɪn
дядя,dʲædʲə
дятел,dʲætʲɪɫ
дятловый,dʲatɫəvɨɪ̯
дёготь,dʲɵɡətʲ
дёгтемаз,dʲɵktʲɪmas
дёжка,dʲɵʂkə
дёр,dʲɵr
дёрг,dʲɵrk
дёрганный,dʲɵrɡənːɨɪ̯
дёрганый,dʲɵrɡənɨɪ̯
дёрганье,dʲɵrɡənʲɪ̯ə
дёргать,dʲɵrɡətʲ
дёргаться,dʲɵrɡət͡sə
дёрен,dʲɵrʲɪn
дёрн,dʲɵrn
дёрнуть,dʲɵrnʊtʲ
дёрнуться,dʲɵrnʊt͡sə
дёсенный,dʲɵsʲɪnːɨɪ̯
дёшево,dʲɵʂɨvə
Ева,jevə
Евангелие,ɪ̯ɪvanɡʲɪlʲɪɪ̯ə
Евгений,ɪ̯ɪvɡʲenʲɪɪ̯
Евгения,ɪ̯ɪvɡʲenʲɪɪ̯ə
Евгенов,ɪ̯ɪvɡʲenəf
Евгеньев,ɪ̯ɪvɡʲenʲɪ̯ɪf
Евгеньевич,ɪ̯ɪvɡʲenʲɪ̯ɪvʲɪt͡ɕ
Евдоким,ɪ̯ɪvdɐkʲim
Евдокимов,ɪ̯ɪvdɐkʲiməf
Евдокимович,ɪ̯ɪvdɐkʲiməvʲɪt͡ɕ
Евдокия,ɪ̯ɪvdɐkʲiɪ̯ə
Евлампиев,ɪ̯ɪvɫam⁽ʲ⁾pʲɪɪ̯ɪf
Евлашкин,ɪ̯ɪvɫaʂkʲɪn
Евменов,ɪ̯ɪvmʲenəf
Евменьев,ɪ̯ɪvmʲenʲɪ̯ɪf
Евплов,jefpɫəf
Евровидение,ɪ̯ɪvrɐvʲidʲɪnʲɪɪ̯ə
Евролига,ˌjevrɐlʲiɡə
Европа,ɪ̯ɪvropə
Европарламент,ˌjevrəpɐrɫamʲɪnt
Европейская,ɪ̯ɪvrɐpʲeɪ̯skʲɪɪ̯
Европол,ɪ̯ɪvrɐpoɫ
Евросоюз,ˌjevrəsɐjus
Евротур,ˌjevrɐtur
Евсеев,ɪ̯ɪfsʲeɪ̯ɪf
Евсеевич,ɪ̯ɪfsʲeɪ̯ɪvʲɪt͡ɕ
Евсей,ɪ̯ɪfsʲeɪ̯
Евстафий,ɪ̯ɪfstafʲɪɪ̯
Евстафьев,ɪ̯ɪfstafʲɪ̯ɪf
Евстигнеев,ɪ̯ɪfsʲtʲɪɡnʲeɪ̯ɪf
Евстигнеевич,ɪ̯ɪfsʲtʲɪɡnʲeɪ̯ɪvʲɪt͡ɕ
Евстигней,ɪ̯ɪfsʲtʲɪɡnʲeɪ̯
Евстифеев,ɪ̯ɪfsʲtʲɪfʲeɪ̯ɪf
Евстратов,ɪ̯ɪfstratəf
Евсюков,ɪ̯ɪfsʲʊkof
Евтеев,ɪ̯ɪftʲeɪ̯ɪf
Евтерпа,ɪ̯ɪftʲerpə
Евтифеев,ɪ̯ɪftʲɪfʲeɪ̯ɪf
Египет,ɪ̯ɪɡʲipʲɪt
Егор,ɪ̯ɪɡor
Егоренков,ɪ̯ɪɡorʲɪnkəf
Егорин,ɪ̯ɪɡorʲɪn
Егоров,ɪ̯ɪɡorəf
Егорович,ɪ̯ɪɡorəvʲɪt͡ɕ
Егорочкин,ɪ̯ɪɡorət͡ɕkʲɪn
Егорьев,ɪ̯ɪɡorʲɪ̯ɪf
Ежов,ɪ̯ɪʐof
Екатерина,ɪ̯ɪkətʲɪrʲinə
Екатеринбург,ɪ̯ɪkətʲɪrʲɪnburk
Екимов,ɪ̯ɪkʲiməf
Елеазаров,ɪ̯ɪlʲɪɐzarəf
Елена,ɪ̯ɪlʲenə
Еленкин,ɪ̯ɪlʲenkʲɪn
Елесин,ɪ̯ɪlʲesʲɪn
Елеферьев,ɪ̯ɪlʲɪfʲerʲɪ̯ɪf
Елизавета,ɪ̯ɪlʲɪzɐvʲetə
Елизар,ɪ̯ɪlʲɪzar
Елизаров,ɪ̯ɪlʲɪzarəf
Елизарович,ɪ̯ɪlʲɪzarəvʲɪt͡ɕ
Елизарьев,ɪ̯ɪlʲɪzarʲɪ̯ɪf
Елин,jelʲɪn
Елисеев,ɪ̯ɪlʲɪsʲeɪ̯ɪf
Елисеевич,ɪ̯ɪlʲɪsʲeɪ̯ɪvʲɪt͡ɕ
Елисей,ɪ̯ɪlʲɪsʲeɪ̯
Елистратов,ɪ̯ɪlʲɪstratəf
Елпатов,ɪ̯ɪɫpatəf
Ельск,jelʲsk
Ельцин,jelʲt͡sɨn
Ельцын,jelʲt͡sɨn
Ельшин,jelʲʂɨn
Емелин,ɪ̯ɪmʲelʲɪn
Емельян,ɪ̯ɪmʲɪlʲjan
Емельянович,ɪ̯ɪmʲɪlʲjanəvʲɪt͡ɕ
Емеля,ɪ̯ɪmʲelʲə
Енисей,ɪ̯ɪnʲɪsʲeɪ̯
Енютин,ɪ̯ɪnʲʉtʲɪn
Епифанов,ɪ̯ɪpʲɪfanəf
Епифаньев,ɪ̯ɪpʲɪfanʲɪ̯ɪf
Ерастов,ɪ̯ɪrastəf
Ереван,ɪ̯ɪrʲɪvan
Ерегин,ɪ̯ɪrʲeɡʲɪn
Еремеев,ɪ̯ɪrʲɪmʲeɪ̯ɪf
Еремеевич,ɪ̯ɪrʲɪmʲeɪ̯ɪvʲɪt͡ɕ
Еремей,ɪ̯ɪrʲɪmʲeɪ̯
Еременко,ɪ̯ɪrʲɪmʲenkə
Ермил,ɪ̯ɪrmʲiɫ
Ермилин,ɪ̯ɪrmʲilʲɪn
Ермилов,ɪ̯ɪrmʲiɫəf
Ермилович,ɪ̯ɪrmʲiɫəvʲɪt͡ɕ
Ермолаевич,ɪ̯ɪrmɐɫaɪ̯ɪvʲɪt͡ɕ
Ермолай,ɪ̯ɪrmɐɫaɪ̯
Ермолов,ɪ̯ɪrmoɫəf
Ермошин,ɪ̯ɪrmoʂɨn
Ерофеев,ɪ̯ɪrɐfʲeɪ̯ɪf
Ерофеевич,ɪ̯ɪrɐfʲeɪ̯ɪvʲɪt͡ɕ
Ерофей,ɪ̯ɪrɐfʲeɪ̯
Ерохин,ɪ̯ɪroxʲɪn
Ерохов,ɪ̯ɪroxəf
Ерошкин,ɪ̯ɪroʂkʲɪn
Ершов,ɪ̯ɪrʂof
Ерёмин,ɪ̯ɪrʲɵmʲɪn
Ерёмочкин,ɪ̯ɪrʲɵmət͡ɕkʲɪn
Есенин,ɪ̯ɪsʲenʲɪn
Есин,jesʲɪn
Есипов,jesʲɪpəf
Ессентуки,ɪ̯ɪsʲɪntʊkʲi
Ефим,ɪ̯ɪfʲim
Ефимий,ɪ̯ɪfʲimʲɪɪ̯
Ефимов,ɪ̯ɪfʲiməf
Ефимович,ɪ̯ɪfʲiməvʲɪt͡ɕ
Ефимьев,ɪ̯ɪfʲimʲɪ̯ɪf
Ефимьевич,ɪ̯ɪfʲimʲɪ̯ɪvʲɪt͡ɕ
Ефрем,ɪ̯ɪfrʲem
Ефремов,ɪ̯ɪfrʲeməf
Ефремович,ɪ̯ɪfrʲeməvʲɪt͡ɕ
Ефросиния,ɪ̯ɪfrɐsʲinʲɪɪ̯ə
Ефросинов,ɪ̯ɪfrɐsʲinəf
Ефросинья,ɪ̯ɪfrɐsʲinʲɪ̯ə
Ехидна,ɪ̯ɪxʲidnə
ебало,ɪ̯ɪbaɫə
ебать,ɪ̯ɪbatʲ
ебаться,ɪ̯ɪbat͡sːə
еблан,ɪ̯ɪbɫan
ебло,ɪ̯ɪbɫo
евангелие,ɪ̯ɪvanɡʲɪlʲɪɪ̯ə
евангелизация,ɪ̯ɪvənɡʲɪlʲɪzat͡sɨɪ̯ə
евангелизм,ɪ̯ɪvənɡʲɪlʲizm
евангелик,ɪ̯ɪvɐnɡʲelʲɪk
евангелист,ɪ̯ɪvənɡʲɪlʲist
евангелистка,ɪ̯ɪvənɡʲɪlʲistkə
евангелический,ɪ̯ɪvənɡʲɪlʲit͡ɕɪskʲɪɪ̯
евангеличка,ɪ̯ɪvənɡʲɪlʲit͡ɕkə
евангельски,ɪ̯ɪvanɡʲɪlʲskʲɪ
евангельский,ɪ̯ɪvanɡʲɪlʲskʲɪɪ̯
евгеника,ɪ̯ɪvɡʲenʲɪkə
евгенический,ɪ̯ɪvɡʲɪnʲit͡ɕɪskʲɪɪ̯
евдошка,ɪ̯ɪvdoʂkə
евин,jevʲɪn
евклидов,ɪ̯ɪfklʲidəf
евнух,jevnʊx
евнухоид,ɪ̯ɪvnʊxoɪt
евнухоидизм,ɪ̯ɪvnʊxəɪdʲizm
евпаториец,ɪ̯ɪfpətɐrʲiɪ̯ɪt͡s
евпаторийский,ɪ̯ɪfpətɐrʲiɪ̯skʲɪɪ̯
евпаторийцы,ɪ̯ɪfpətɐrʲiɪ̯ɪt͡s
евразиец,ɪ̯ɪvrɐzʲiɪ̯ɪt͡s
евразийский,ɪ̯ɪvrɐzʲiɪ̯skʲɪɪ̯
евразийство,ɪ̯ɪvrɐzʲiɪ̯stvə
евразийцы,ɪ̯ɪvrɐzʲiɪ̯ɪt͡s
евреи,ɪ̯ɪvrʲeɪ̯
еврей,ɪ̯ɪvrʲeɪ̯
еврейка,ɪ̯ɪvrʲeɪ̯kə
еврейский,ɪ̯ɪvrʲeɪ̯skʲɪɪ̯
еврейство,ɪ̯ɪvrʲeɪ̯stvə
евро,jevrə
евробонд,ˌjevrɐbont
евробонды,ˌjevrɐbont
евровалюта,ˌjevrəvɐlʲutə
евровидение,ɪ̯ɪvrɐvʲidʲɪnʲɪɪ̯ə
евродоллар,ˌjevrɐdoɫːər
евродоллары,ˌjevrɐdoɫːər
еврозаём,ˌjevrəzɐjɵm
еврозаёмный,ˌjevrəzɐjɵmnɨɪ̯
еврозона,ˌjevrɐzonə
еврокаркас,ˌjevrəkɐrkas
еврокоммунизм,ˌjevrəkəmʊnʲizm
еврокорпус,ˌjevrɐkorpʊs
еврокубок,ˌjevrɐkubək
евромонета,ˌjevrəmɐnʲetə
еврооблигация,ˌjevrɐɐblʲɪɡat͡sɨɪ̯ə
европеец,ɪ̯ɪvrɐpʲeɪ̯ɪt͡s
европеизация,ɪ̯ɪvrəpʲɪɪzat͡sɨɪ̯ə
европеизированный,ɪ̯ɪvrəpʲɪɪzʲirəvənːɨɪ̯
европеизировать,ɪ̯ɪvrəpʲɪɪzʲirəvətʲ
европеизироваться,ɪ̯ɪvrəpʲɪɪzʲirəvət͡sə
европеизм,ɪ̯ɪvrəpʲɪizm
европеист,ɪ̯ɪvrəpʲɪist
европейка,ɪ̯ɪvrɐpʲeɪ̯kə
европейски,ɪ̯ɪvrɐpʲeɪ̯skʲɪ
европейский,ɪ̯ɪvrɐpʲeɪ̯skʲɪɪ̯
